1000 10000
706 607 20
371 903 84
669 456 38
250 916 41
495 860 21
135 180 91
457 358 98
104 955 88
843 81 87
91 831 98
234 470 86
212 236 44
928 27 99
453 90 92
203 285 6
951 767 91
728 173 97
614 605 96
239 872 19
752 753 3
135 179 82
3 251 86
255 62 92
578 504 59
919 497 86
33 842 52
530 835 21
112 442 91
672 86 50
74 133 28
302 659 45
470 583 17
108 977 25
600 478 93
902 917 69
623 447 17
402 121 65
71 770 10
797 437 15
257 393 75
325 900 30
18 258 12
121 80 67
362 761 12
304 257 54
100 659 2
859 373 66
768 137 91
443 57 21
25 535 58
460 845 79
959 816 96
985 449 68
349 65 81
374 114 62
445 493 80
269 918 52
790 228 63
122 277 41
448 789 24
981 619 19
617 169 47
428 206 89
780 534 11
889 437 97
916 44 44
106 20 77
312 424 55
391 107 40
277 628 1
577 317 42
180 646 64
563 713 30
930 829 13
572 934 0
184 266 5
755 88 18
515 733 2
687 192 87
308 57 34
553 990 49
627 668 69
270 519 51
745 373 6
123 261 20
115 757 29
853 784 18
815 311 21
430 262 99
253 478 92
356 76 83
611 846 88
485 455 67
310 717 57
869 861 90
246 239 65
227 423 97
883 466 26
741 690 44
70 56 8
351 245 91
760 568 72
329 408 5
824 753 78
255 75 99
606 234 96
605 663 40
598 693 86
344 546 22
385 453 1
615 135 46
444 520 58
192 527 5
760 670 89
896 365 96
340 562 2
361 239 92
824 175 95
582 276 97
232 701 86
847 344 22
730 530 12
764 149 27
902 138 46
747 924 39
349 707 8
263 316 61
476 458 74
991 927 82
85 490 6
911 69 92
89 560 84
440 863 18
265 916 91
315 600 74
955 442 8
220 592 72
19 807 71
87 602 20
616 770 74
812 258 94
419 382 78
706 364 35
419 582 23
857 437 9
146 255 46
530 728 22
166 922 60
670 524 40
56 833 54
138 520 83
577 221 65
610 421 32
803 151 9
965 685 81
697 802 91
49 349 57
974 498 1
332 317 51
945 202 13
655 934 32
217 178 97
879 725 35
469 447 79
846 247 6
141 251 43
127 408 36
501 353 78
808 922 7
63 427 64
449 622 50
234 86 69
207 921 96
577 7 56
612 412 57
728 623 90
960 679 36
337 918 66
431 804 97
21 280 12
55 364 21
26 14 60
255 328 9
718 769 89
415 209 14
328 332 99
995 431 72
560 305 63
292 293 36
81 2 20
379 828 76
340 75 52
975 563 55
910 777 31
800 752 30
796 684 45
383 854 58
441 860 38
652 644 62
996 44 97
417 200 92
731 902 19
462 537 34
8 213 10
231 792 63
508 533 80
847 546 72
201 749 70
456 523 57
779 690 3
877 794 45
834 98 72
53 175 70
591 766 4
252 940 72
308 366 93
160 61 86
126 873 83
861 547 5
596 745 55
102 424 89
876 785 8
117 7 68
116 193 58
175 63 21
45 983 20
631 238 52
342 365 0
843 592 64
230 381 1
573 700 13
416 64 11
851 453 43
79 148 73
913 914 72
153 462 6
717 820 24
645 569 46
90 903 2
73 657 40
42 882 0
855 126 6
485 580 46
647 617 39
186 757 15
68 886 99
591 268 82
220 238 61
472 533 20
728 201 44
788 805 22
571 356 30
345 57 22
559 21 27
353 820 45
596 479 96
180 445 53
637 105 28
942 142 26
749 157 76
505 314 27
879 877 61
133 227 65
373 221 75
411 85 33
862 28 27
20 104 26
504 681 73
317 953 14
722 167 90
57 401 49
697 522 84
611 952 81
372 388 80
717 559 29
757 733 50
980 260 64
708 577 92
751 946 93
869 404 19
983 75 10
598 200 55
641 2 80
255 257 2
60 723 93
102 793 35
764 364 21
841 926 47
901 473 26
16 513 60
53 536 32
474 697 11
575 379 27
603 968 96
174 790 36
266 168 66
985 77 13
842 679 99
229 587 27
51 549 2
452 552 39
329 351 91
872 802 71
233 919 61
343 171 54
645 776 30
503 771 6
623 544 40
901 560 46
26 561 6
277 815 98
191 513 45
103 296 87
603 44 73
709 871 76
981 714 36
936 189 31
631 801 16
60 419 47
485 570 67
904 567 22
191 325 70
484 358 99
652 724 95
306 118 69
401 406 84
809 876 88
983 672 39
333 768 56
130 298 39
264 571 32
203 722 90
365 807 66
580 941 1
208 512 63
339 788 8
826 160 51
900 230 18
330 488 84
109 903 8
167 712 66
443 621 27
446 569 15
913 243 39
303 458 22
965 629 97
129 527 57
108 67 78
264 613 24
831 468 8
296 811 50
85 91 83
971 15 48
517 996 45
14 838 98
371 632 57
111 403 84
623 455 76
895 614 13
502 221 38
22 687 79
893 718 32
4 616 21
150 37 65
619 925 32
71 944 7
134 197 36
241 143 88
465 181 17
674 326 84
708 198 20
657 810 19
426 988 83
269 863 38
528 133 41
269 248 6
702 631 5
525 653 7
110 111 28
995 925 31
575 202 90
62 455 63
191 230 87
977 580 8
234 346 35
78 333 36
407 731 72
635 534 59
643 526 31
178 506 89
499 946 2
845 335 72
880 703 16
562 476 43
965 396 74
202 329 53
278 43 38
102 93 16
87 141 50
75 729 6
155 99 90
123 339 32
272 458 92
63 483 0
229 484 20
931 38 93
359 389 65
783 408 88
542 701 74
762 4 94
969 195 42
374 660 14
939 791 28
357 785 33
167 574 72
397 846 6
995 334 14
879 858 23
458 62 6
79 881 33
994 301 82
54 658 49
816 531 67
640 660 28
175 165 99
401 799 15
717 340 16
206 673 22
167 146 58
178 165 15
925 709 29
615 7 78
8 60 83
906 63 93
48 350 40
673 404 18
847 383 18
464 863 69
937 59 80
701 992 11
338 653 86
530 31 5
38 68 36
633 294 20
908 663 39
120 108 85
843 531 76
236 879 18
777 333 23
271 73 52
821 858 94
813 397 31
379 790 96
403 959 78
660 72 86
256 454 8
28 340 24
219 51 45
601 303 36
980 305 65
601 711 45
818 668 67
350 633 7
871 965 41
866 693 50
648 557 5
437 958 81
504 59 58
793 260 33
921 340 37
478 73 74
371 238 21
488 709 65
47 117 11
111 856 10
574 854 89
929 160 56
887 663 94
342 250 10
949 793 16
291 850 94
693 242 89
565 37 47
689 547 63
774 812 89
320 826 54
193 974 34
595 997 56
583 560 88
762 397 93
141 229 24
809 773 21
154 466 33
291 218 27
328 555 15
947 567 73
818 567 75
593 244 87
278 253 3
68 256 24
241 354 64
438 896 76
518 598 79
895 799 87
728 960 30
627 966 80
205 947 7
801 3 24
993 319 32
26 882 73
371 862 36
653 263 84
365 52 50
565 212 71
769 785 62
8 2 33
131 350 14
707 165 63
683 93 65
487 285 9
667 794 25
82 828 2
136 477 2
30 89 34
87 817 97
59 219 51
137 794 78
799 560 84
978 480 42
395 376 53
257 51 89
353 635 81
408 419 71
150 995 57
818 919 39
195 680 72
163 965 33
699 892 55
506 724 57
198 24 92
419 227 16
468 74 18
320 764 5
405 88 15
553 286 1
922 687 43
63 666 7
386 958 44
617 307 57
15 332 78
239 691 40
376 574 63
846 238 12
67 484 10
561 870 63
526 770 84
578 847 30
204 660 30
822 304 29
935 262 54
879 785 0
924 315 18
257 560 54
542 95 47
328 695 55
793 615 81
360 289 25
230 539 80
461 424 22
374 797 94
191 19 9
336 501 26
22 392 55
65 665 55
100 451 6
683 159 5
264 832 32
669 13 37
746 783 56
232 478 34
319 65 55
517 304 56
412 126 23
448 4 80
103 869 88
620 412 95
984 293 93
498 950 16
26 701 16
4 200 98
193 95 81
598 959 76
766 490 23
999 490 26
73 108 85
904 284 58
403 32 93
274 575 28
424 990 85
355 566 32
246 460 73
402 657 27
316 616 27
92 752 88
578 477 76
27 311 37
65 571 92
933 619 6
405 431 54
875 470 44
629 436 22
891 604 83
756 939 7
324 210 74
836 561 76
951 978 64
480 136 83
965 815 42
967 686 93
687 466 13
402 249 14
784 37 37
454 523 41
560 668 78
582 338 86
220 743 69
367 427 80
771 294 70
700 604 70
987 368 59
708 793 63
292 766 19
22 404 28
97 764 27
997 119 60
995 516 95
531 10 81
391 894 61
559 638 30
228 507 47
617 196 24
353 186 65
816 314 48
205 899 2
367 509 40
225 31 4
535 73 36
505 348 85
58 68 62
876 35 4
670 845 6
173 339 80
313 59 12
229 992 56
950 950 23
664 918 82
398 621 51
745 552 49
846 388 49
446 530 45
861 519 83
540 573 30
168 816 87
13 685 6
342 473 15
399 367 97
201 440 15
551 288 71
39 541 45
597 749 40
130 504 41
107 152 95
368 74 89
450 151 97
426 719 13
954 784 18
318 294 61
496 528 56
84 696 65
496 371 85
469 697 23
747 326 90
507 676 11
398 572 5
192 525 65
566 322 44
712 315 84
67 524 69
84 83 66
220 843 52
286 380 28
17 891 72
653 336 2
487 201 65
914 271 1
649 885 5
651 944 13
257 929 99
41 572 56
541 846 27
743 567 46
944 41 9
81 376 69
548 518 70
995 894 11
197 60 50
89 745 57
803 484 86
981 851 56
830 413 86
215 197 49
267 32 4
331 596 38
18 876 5
338 221 36
951 709 7
700 386 58
258 252 91
676 184 76
460 813 88
670 220 69
723 962 6
42 99 54
864 302 63
523 414 7
839 619 11
178 773 52
585 724 21
886 724 63
997 150 74
912 683 16
605 482 40
334 388 99
351 959 45
101 330 36
249 637 83
58 974 63
355 698 10
643 372 64
643 269 56
131 81 28
944 410 12
228 649 77
57 188 9
342 595 33
680 111 55
328 757 56
560 886 69
952 238 29
860 911 2
632 329 85
593 121 27
177 869 31
96 592 97
614 567 56
631 120 54
799 187 42
24 348 81
426 793 21
683 909 88
652 3 88
345 927 65
5 570 77
259 188 5
682 48 11
868 608 76
893 215 56
55 618 88
150 610 50
535 301 25
906 46 26
212 469 5
42 43 35
433 853 13
580 715 88
278 153 77
887 868 59
627 785 20
839 467 84
590 18 56
356 423 2
163 648 32
398 502 83
937 522 14
711 379 56
210 957 98
879 632 51
796 975 89
163 907 85
211 88 14
185 863 13
216 36 72
92 801 29
172 425 86
829 272 40
296 770 84
330 42 86
520 638 86
274 285 24
846 97 9
767 439 78
473 46 38
489 841 19
821 771 88
745 230 65
146 242 77
323 240 43
38 112 78
916 328 87
754 296 98
337 846 57
648 595 50
862 635 69
618 493 96
938 392 92
717 712 91
137 594 10
663 704 94
555 994 22
375 764 58
370 911 39
663 444 94
463 102 66
621 240 22
816 765 40
134 773 80
6 501 77
472 765 69
306 395 28
809 457 20
804 730 13
989 231 71
3 981 85
627 905 3
625 790 83
863 178 87
50 517 54
879 707 73
869 402 49
495 685 59
33 561 33
186 591 91
453 748 77
794 912 77
62 417 57
300 106 82
227 641 42
429 652 31
294 431 16
709 676 76
892 998 72
553 939 86
154 792 32
754 109 77
327 899 16
901 52 87
7 606 38
706 58 26
475 218 89
491 723 36
538 562 6
170 968 95
878 603 51
172 238 95
470 453 15
483 32 21
670 114 53
63 417 13
169 719 77
567 340 10
552 810 31
779 459 92
226 539 28
416 485 84
108 929 43
67 653 21
601 343 67
993 902 89
626 232 95
164 580 14
688 74 76
96 955 72
452 329 3
180 755 26
347 369 89
345 883 11
764 254 80
64 800 10
561 785 7
869 562 91
273 403 29
263 650 29
748 314 36
673 422 40
40 939 12
89 366 6
842 512 39
980 788 62
902 353 5
276 20 16
910 826 85
87 532 55
907 450 17
360 277 11
722 374 60
488 128 7
99 968 75
415 785 88
150 862 68
371 784 66
361 943 80
162 847 69
327 421 72
432 766 26
704 753 3
757 165 20
313 211 25
426 106 83
94 343 3
290 372 52
598 821 40
306 47 20
189 681 65
153 84 65
927 51 68
258 319 98
532 120 23
434 555 55
636 243 50
589 184 67
445 92 14
185 317 50
301 449 38
94 221 92
641 90 19
213 985 30
77 967 56
876 399 71
399 734 53
26 376 83
608 573 36
600 74 19
38 409 3
371 17 93
19 645 90
718 491 47
544 343 88
764 357 4
670 384 50
666 628 38
679 162 18
81 450 56
735 734 65
729 751 47
697 169 81
325 909 33
869 888 7
819 861 61
403 397 69
713 48 37
853 901 38
402 716 10
255 837 23
314 122 23
16 716 56
824 321 0
722 810 66
374 389 16
542 931 91
593 775 3
597 752 24
681 782 82
395 98 91
756 221 78
111 854 94
942 709 44
200 36 87
113 837 8
510 968 99
944 711 89
792 450 82
243 547 62
574 10 75
538 135 23
486 828 62
270 754 40
945 741 7
434 38 86
525 181 79
100 816 38
341 519 69
657 340 38
626 367 45
610 312 26
297 700 89
368 689 69
206 34 62
999 685 90
450 61 35
765 271 13
766 487 12
777 524 76
824 160 19
330 976 12
849 259 30
207 6 92
164 219 53
858 854 33
602 299 14
128 566 66
561 12 35
960 500 79
277 313 50
50 252 64
597 292 61
516 181 53
88 484 48
989 101 70
398 202 50
382 632 37
34 537 45
509 247 61
919 812 97
133 600 91
13 677 70
232 649 59
663 515 69
996 873 27
304 228 9
701 166 0
861 96 42
944 819 87
199 675 45
776 418 18
161 201 74
154 237 95
128 419 39
87 559 71
417 196 32
557 79 3
441 241 30
733 787 55
617 18 14
542 109 43
436 478 81
134 183 69
229 738 43
160 587 38
245 939 93
497 285 56
841 919 89
922 815 66
180 593 69
363 302 45
262 861 75
745 348 7
272 806 43
494 688 16
278 377 81
842 184 93
827 455 12
935 991 37
207 858 34
402 964 85
149 875 64
621 385 74
293 901 16
499 370 49
607 309 31
982 408 16
266 332 75
770 740 57
656 593 32
32 303 94
523 700 22
848 863 19
481 87 83
330 684 11
811 683 58
595 676 13
676 981 78
874 758 53
382 117 6
353 854 83
884 317 15
379 908 75
57 323 18
45 216 11
903 513 49
662 547 48
503 427 8
94 993 20
24 497 95
808 216 29
361 640 70
183 695 28
789 225 4
670 284 91
63 531 54
696 182 7
193 305 29
94 756 56
342 715 95
601 805 54
58 870 7
245 855 49
187 402 93
614 495 5
133 964 21
35 968 55
101 445 40
31 448 62
351 205 39
549 953 81
446 135 76
156 838 36
820 763 80
138 584 47
456 202 3
623 660 80
715 910 76
276 259 36
344 880 54
817 830 87
468 713 29
600 366 77
491 895 95
935 36 11
968 773 22
914 89 47
143 205 5
577 291 75
587 182 85
678 622 23
931 858 78
872 478 10
705 339 4
304 410 75
199 896 16
215 391 25
486 824 9
824 423 18
532 849 45
84 672 45
674 791 2
993 642 59
1 502 79
273 16 15
323 210 38
678 753 27
122 143 27
601 49 12
947 124 47
480 658 62
981 350 5
974 414 59
564 416 41
729 327 69
658 964 67
99 99 35
892 220 35
526 332 5
513 234 32
521 119 86
506 443 46
300 554 41
496 56 58
413 348 95
101 79 61
461 210 9
317 423 43
489 766 81
377 10 66
558 792 29
551 286 65
658 75 6
204 312 52
126 364 89
769 722 29
834 523 22
748 840 80
515 717 76
594 492 41
719 329 91
756 634 67
374 166 72
864 137 56
488 119 83
178 795 29
902 474 9
960 473 50
997 811 58
431 297 56
608 11 95
639 128 15
523 74 99
342 658 31
136 32 3
512 21 77
490 728 50
958 549 73
871 23 66
656 78 21
656 129 84
292 558 41
133 822 97
507 784 36
602 114 97
638 978 53
376 908 83
848 832 30
165 79 35
30 244 92
874 428 81
766 885 33
385 791 58
861 71 63
2 268 50
905 688 89
381 489 20
465 334 80
64 315 92
768 764 7
421 360 39
437 405 75
563 281 17
772 903 29
918 848 25
361 890 0
551 468 46
495 82 87
859 17 60
62 742 64
299 165 30
814 33 95
956 714 72
962 768 17
931 431 66
519 596 69
844 167 45
801 134 75
184 213 68
942 947 45
933 81 92
507 454 36
68 173 11
585 449 80
167 896 20
178 258 16
797 62 15
556 567 8
881 585 97
212 585 16
390 254 76
741 711 8
430 281 54
765 264 78
959 162 40
948 795 5
289 313 48
690 364 63
216 66 83
966 972 67
826 798 40
332 302 14
215 565 5
9 985 78
88 57 24
757 234 31
340 665 14
466 261 41
529 533 82
880 757 30
709 282 23
988 281 3
919 35 76
306 505 46
213 658 94
309 753 78
865 721 66
16 850 18
688 903 79
87 455 90
209 159 37
246 723 49
305 874 4
317 963 8
372 687 18
682 27 7
412 870 99
879 223 11
882 494 35
144 747 71
967 554 93
30 70 42
755 5 75
598 449 15
925 348 20
904 247 26
329 341 72
882 509 91
500 837 86
648 325 7
96 121 3
947 494 3
153 700 10
376 98 14
682 31 91
449 86 16
645 482 33
509 786 52
681 24 31
648 876 68
356 591 17
73 128 0
211 956 74
35 462 60
677 964 98
694 668 81
554 765 2
293 214 9
832 373 47
876 470 29
592 202 20
391 158 8
90 28 30
948 766 84
309 582 5
13 658 96
445 69 8
166 88 84
241 374 37
626 636 5
281 972 74
664 434 66
2 610 67
702 137 14
400 872 89
777 594 58
146 503 56
629 715 38
441 378 94
715 681 19
701 233 4
829 563 96
908 713 26
590 589 47
204 98 90
227 108 85
938 854 18
372 950 84
928 345 44
451 204 83
738 978 21
914 329 65
952 20 98
229 407 26
660 322 17
120 204 72
80 504 76
71 695 39
490 872 53
149 767 40
787 574 45
233 363 37
990 160 99
446 625 92
785 383 60
902 374 38
231 63 79
190 328 57
820 375 40
562 219 38
677 410 19
22 944 54
299 541 59
677 692 62
149 522 37
665 972 22
405 929 19
387 901 55
943 486 92
223 630 80
90 506 52
906 356 47
770 318 78
300 550 27
850 159 75
218 634 50
429 984 64
800 248 31
904 243 51
89 365 31
9 61 75
84 559 78
527 848 90
387 121 24
343 486 74
304 224 28
166 874 63
321 827 92
324 543 18
761 420 34
738 262 88
770 215 47
323 269 94
163 155 91
811 819 77
86 941 15
782 894 25
619 12 96
624 416 32
515 558 42
796 599 45
56 714 43
297 791 82
687 411 91
33 827 6
370 205 80
517 765 16
616 431 24
969 83 74
981 910 21
404 627 9
37 309 85
877 527 2
315 975 37
715 171 58
353 877 95
725 712 51
259 371 97
812 69 49
70 99 27
117 209 93
673 298 69
25 529 88
2 22 44
308 702 97
920 932 52
181 85 86
584 845 36
714 573 19
229 996 37
418 831 81
122 600 53
99 544 63
613 295 89
912 956 85
539 998 13
211 565 43
369 240 78
748 717 2
934 388 66
752 565 20
722 470 70
501 542 24
95 747 85
630 588 72
608 828 99
598 465 94
194 384 42
736 502 52
487 231 73
303 926 34
336 149 91
212 189 3
702 969 78
471 337 51
692 461 92
665 575 40
902 65 29
987 987 51
320 656 31
27 774 6
467 920 25
647 637 7
731 519 43
841 94 52
641 37 94
603 923 68
40 339 85
514 125 90
632 0 32
409 829 82
960 488 46
551 796 44
122 265 21
832 165 32
599 825 68
64 340 44
882 502 28
20 975 46
692 574 60
338 733 64
850 621 46
720 95 63
887 447 14
971 716 68
794 866 49
446 193 22
323 253 30
138 555 90
270 491 85
731 437 98
992 334 31
75 46 36
346 983 67
536 491 27
757 992 29
291 874 31
310 524 94
194 447 4
884 58 27
772 635 59
512 572 17
57 801 78
415 678 11
443 262 64
782 235 57
367 981 84
134 485 1
699 88 60
231 885 1
889 350 63
73 104 25
185 43 85
429 905 34
457 610 7
692 259 7
409 864 45
998 912 99
19 385 47
40 672 76
341 594 39
76 131 46
630 230 76
980 314 6
350 946 62
390 710 13
627 81 92
770 454 66
825 760 96
43 802 75
39 916 75
535 760 82
720 594 99
875 752 85
320 380 26
97 692 13
328 264 69
801 366 65
666 632 22
228 786 84
449 53 23
678 73 90
333 593 8
773 232 93
966 428 53
638 654 15
504 128 68
424 196 82
503 13 79
707 683 22
257 585 28
176 539 30
954 64 17
78 629 57
864 815 83
842 119 53
726 563 4
486 610 26
466 462 92
280 774 33
21 933 93
709 872 38
972 199 77
346 348 33
462 596 49
906 146 96
66 881 6
103 257 55
77 561 31
542 565 8
45 28 6
54 28 69
595 159 44
741 39 12
397 200 59
328 409 18
947 234 37
210 327 3
423 575 10
223 486 45
766 144 31
778 23 30
587 8 63
436 926 44
612 927 93
63 329 34
837 830 74
251 734 3
394 896 67
722 77 7
684 627 29
276 90 67
83 329 22
139 348 32
151 196 97
898 434 66
520 611 44
435 480 24
779 941 89
378 381 63
646 241 84
924 101 15
124 56 41
741 322 1
12 204 60
1 901 38
224 86 19
396 534 64
198 446 51
796 541 25
875 704 68
489 764 87
381 310 70
680 428 32
756 5 67
937 298 8
592 847 28
380 310 96
562 708 0
93 745 21
715 859 23
593 574 78
688 586 97
660 338 73
718 415 75
787 563 7
861 187 29
235 934 58
465 703 97
245 746 87
863 578 92
738 352 68
685 138 24
456 475 88
600 297 25
317 467 72
439 3 6
878 267 30
208 839 59
892 14 5
928 95 64
239 309 61
119 233 72
862 315 14
588 706 90
510 787 78
588 253 26
490 413 97
184 604 37
491 805 92
701 364 5
652 263 78
954 723 54
144 39 78
218 516 88
126 276 16
852 903 23
92 457 98
106 611 42
478 788 25
457 888 56
456 329 26
666 40 78
385 897 45
218 661 32
837 93 1
102 324 70
289 853 17
81 204 38
611 61 4
90 994 22
566 602 13
706 713 70
393 495 51
581 135 33
954 878 74
294 27 66
332 470 85
676 269 39
978 487 46
407 246 82
548 245 82
516 4 24
270 511 52
146 734 64
526 655 94
730 114 98
604 449 12
499 323 61
803 218 89
656 775 70
408 613 88
864 136 83
60 472 91
202 689 26
463 167 94
420 855 58
346 724 40
884 233 90
450 128 63
791 29 38
684 825 2
273 474 19
574 134 60
6 564 93
418 115 57
197 75 82
991 280 15
621 9 86
335 604 6
135 497 19
678 993 32
574 373 5
987 384 8
192 106 26
647 867 84
293 559 30
561 333 68
499 142 99
378 601 30
110 852 34
267 751 18
104 174 68
719 957 41
260 179 19
324 859 17
517 974 31
345 872 67
569 310 27
704 99 27
821 895 12
826 694 11
659 311 7
489 349 20
890 918 36
185 639 55
826 279 72
620 678 8
65 855 44
269 855 22
351 936 8
724 53 30
347 994 88
773 145 1
490 263 60
478 612 76
463 258 54
364 903 88
393 209 86
940 756 58
593 533 76
81 904 22
504 520 20
995 297 5
879 337 58
312 667 20
183 557 34
29 666 73
565 61 13
564 71 34
109 273 31
612 105 70
979 791 46
109 589 48
995 64 49
51 434 43
355 854 48
813 276 16
123 563 3
605 172 49
742 253 74
690 247 65
540 392 3
969 913 20
142 675 85
761 778 90
75 431 16
687 377 43
635 825 39
732 995 7
704 790 19
936 69 97
870 30 22
795 518 12
875 783 20
621 359 94
464 634 23
647 597 74
236 482 59
642 690 26
318 927 59
420 278 44
30 482 20
398 139 24
450 727 89
537 850 7
711 553 82
354 234 40
119 208 39
786 97 38
119 971 63
823 311 65
523 975 62
795 206 98
413 117 25
319 829 38
411 787 67
238 358 13
160 47 66
693 465 44
756 998 41
282 24 89
483 215 58
526 947 20
156 566 16
237 451 27
24 942 17
288 805 6
875 902 73
892 162 7
866 627 86
975 780 57
888 837 71
127 304 6
470 218 16
311 56 21
963 389 49
667 343 53
170 607 80
933 91 17
168 113 89
918 925 81
285 529 27
45 99 36
827 981 22
733 831 2
672 225 70
325 160 66
748 876 41
60 939 52
332 923 62
65 532 31
545 69 43
574 929 19
914 423 27
197 451 22
647 424 16
306 501 46
199 316 7
558 867 55
697 968 35
155 950 17
953 706 74
844 964 78
88 654 38
719 575 22
771 548 42
881 498 66
101 147 14
216 172 14
148 92 36
239 896 58
163 401 66
306 216 16
50 658 70
527 496 97
379 459 11
151 114 35
896 519 16
227 953 36
993 670 46
614 823 86
14 889 67
253 457 32
628 716 29
281 274 47
837 760 13
425 624 7
279 110 64
334 407 65
661 628 15
12 591 55
814 266 75
329 394 37
620 118 50
584 697 63
233 830 96
627 861 46
851 131 82
445 732 62
482 516 26
77 364 22
970 344 13
869 688 47
131 726 4
596 272 54
874 360 46
499 418 7
632 363 28
844 635 18
440 263 38
824 662 75
330 541 5
776 294 8
174 115 61
468 70 21
833 157 29
726 14 36
242 19 35
497 838 0
200 283 33
555 676 79
63 20 12
504 719 33
470 689 22
861 21 97
0 892 59
934 835 83
853 603 65
653 369 7
861 585 64
99 589 14
792 406 91
616 518 91
350 182 91
535 833 70
333 654 61
742 435 50
105 670 41
507 201 60
127 972 49
507 571 26
594 807 82
654 9 44
888 54 69
767 890 82
104 916 70
672 677 95
324 927 97
764 337 24
762 642 91
446 149 56
969 621 17
996 951 5
877 255 50
452 616 53
302 714 72
484 951 43
313 295 43
812 418 27
369 893 41
148 220 27
250 504 60
480 835 84
146 984 20
576 880 72
185 668 24
974 51 22
52 753 28
978 686 0
136 635 72
219 839 17
287 372 5
199 692 54
492 529 3
690 857 62
282 373 66
936 859 98
718 574 14
72 896 80
235 772 8
200 529 34
677 529 22
682 492 45
759 280 15
679 911 22
745 358 21
827 90 5
236 662 58
537 877 18
462 411 68
764 10 54
908 488 60
206 980 74
214 437 16
794 853 38
859 120 34
840 764 86
321 527 35
741 568 60
306 41 34
911 586 37
594 702 35
125 675 37
575 237 78
839 671 94
43 444 86
683 584 48
635 738 83
815 532 60
405 979 19
355 997 35
734 722 68
207 790 56
880 115 2
906 911 67
55 216 39
444 533 57
577 312 76
477 531 71
202 986 3
109 549 61
399 848 37
818 921 26
323 894 27
480 171 72
680 716 40
953 740 90
64 252 38
503 939 51
719 146 83
779 495 27
848 406 4
123 349 46
592 475 98
138 857 49
373 242 56
794 562 16
145 742 61
145 200 45
565 131 79
6 778 86
181 102 23
480 769 3
444 633 22
761 784 82
523 897 70
153 469 4
511 898 52
17 171 40
102 504 20
547 820 53
354 191 77
226 490 25
649 122 12
376 776 47
869 542 26
517 217 60
547 960 90
334 486 6
163 663 94
680 753 33
692 449 63
769 299 68
133 894 47
15 79 57
22 179 65
390 491 20
517 290 96
128 608 57
395 515 88
237 868 16
295 79 75
569 211 32
483 924 90
718 448 93
420 957 4
327 615 1
896 345 26
725 749 86
134 44 48
765 925 43
479 176 39
44 984 82
416 353 57
858 859 58
286 508 79
486 374 69
301 610 90
754 58 62
245 120 59
489 23 4
17 382 4
68 224 69
219 727 25
876 898 15
573 759 60
332 748 59
878 199 57
470 590 84
909 556 94
226 37 23
928 275 74
733 71 67
389 594 51
822 299 63
580 953 22
275 498 28
170 221 73
521 764 72
435 766 97
720 463 67
106 191 77
917 205 33
331 210 40
961 515 74
100 635 4
629 331 33
13 803 56
250 40 5
371 923 43
86 948 43
776 188 97
837 856 97
144 148 88
575 220 32
962 549 81
136 188 64
872 549 47
764 285 15
287 7 10
840 355 13
190 851 90
905 800 50
53 87 26
395 636 90
72 491 17
761 978 22
150 551 99
91 457 21
945 492 68
387 428 61
262 522 67
270 202 64
733 619 63
12 445 63
487 490 74
944 308 32
461 765 71
114 581 62
714 968 56
123 461 94
922 590 37
519 384 33
986 455 84
