1000 5000
615 622 50
712 222 70
994 907 81
392 581 42
201 135 79
89 826 77
994 68 64
533 164 24
950 367 94
994 121 90
719 527 7
720 26 88
988 924 32
627 436 1
135 53 28
814 61 60
468 312 55
441 122 82
231 53 40
887 397 72
939 998 57
117 470 46
241 844 15
33 723 15
848 712 50
796 723 59
349 863 54
460 744 19
27 302 94
131 37 73
528 471 86
629 259 42
608 141 55
960 152 56
408 779 38
899 710 25
786 305 27
759 637 44
695 636 88
5 16 64
696 885 27
917 171 93
163 676 31
465 818 4
115 454 86
911 537 40
222 286 88
634 255 81
373 123 94
324 921 4
249 952 33
829 937 98
626 5 48
784 374 79
77 490 53
802 519 33
521 252 93
667 264 9
328 475 70
967 827 87
963 880 21
624 561 47
106 242 57
327 369 74
521 196 74
49 544 9
709 590 68
93 418 81
896 902 84
74 696 28
457 635 81
357 918 39
979 669 5
388 356 55
767 414 91
620 443 50
632 26 97
537 510 38
97 268 78
745 141 62
880 250 38
257 626 55
867 930 51
801 121 82
55 148 92
727 682 7
41 928 89
337 777 30
699 414 49
558 241 87
367 306 21
384 437 60
209 297 63
163 170 77
127 597 46
762 5 24
72 519 20
4 500 82
769 284 59
207 962 96
246 706 88
942 964 6
140 567 31
992 550 3
619 385 79
928 32 76
619 495 39
392 763 61
512 258 68
296 627 99
353 986 71
450 582 18
188 626 41
454 325 12
982 425 5
795 655 2
846 592 62
810 773 30
705 492 51
316 844 81
291 518 5
280 155 57
807 873 49
817 162 98
711 262 58
312 875 33
140 956 29
979 452 83
981 869 2
796 563 8
749 478 90
230 284 15
589 321 38
949 142 35
451 268 41
193 527 67
524 569 19
722 720 44
168 151 83
230 392 8
59 611 51
296 955 65
681 359 25
723 472 13
985 139 49
805 585 61
100 383 36
62 786 70
479 905 88
502 452 78
432 441 54
733 966 62
302 243 75
555 908 13
891 343 14
115 405 54
690 552 50
124 882 50
998 414 97
344 924 72
341 861 49
80 23 66
438 475 91
498 566 69
323 244 24
240 147 37
752 611 18
50 216 95
144 217 1
645 837 91
592 742 20
193 932 88
745 76 85
629 861 90
207 521 55
670 719 36
787 819 5
782 312 9
753 483 99
513 402 18
11 469 62
956 879 68
171 645 21
911 337 34
754 344 55
564 562 22
89 988 84
646 640 79
624 119 38
73 508 77
271 67 2
356 644 75
804 439 33
95 394 27
311 141 46
474 547 78
457 174 67
620 70 24
565 341 43
244 281 21
10 158 10
777 819 18
866 875 56
5 533 78
980 903 35
79 449 42
885 417 24
140 220 40
402 414 53
296 691 89
120 599 98
283 834 24
102 648 67
663 545 3
827 253 23
15 997 49
189 263 33
391 980 95
789 962 99
519 348 29
36 362 83
36 807 37
134 825 1
511 422 61
354 688 64
35 843 98
64 656 67
353 333 93
543 649 49
477 98 43
960 456 85
309 220 70
2 49 60
954 397 61
955 439 8
419 868 11
873 442 97
325 724 37
467 113 47
393 298 51
158 927 58
453 732 76
162 953 29
222 268 89
100 495 88
582 23 27
508 531 18
972 453 82
465 321 93
266 686 85
931 468 26
991 943 55
588 415 42
673 892 25
330 680 41
546 375 78
371 225 9
150 724 39
292 483 88
768 277 43
895 949 37
335 364 41
590 661 66
900 598 98
123 477 20
80 328 57
763 365 4
671 137 37
294 411 68
206 977 17
147 967 52
975 551 42
709 748 47
107 346 89
418 409 14
741 858 1
845 158 90
292 101 59
108 838 35
812 939 89
154 139 85
335 778 34
79 945 41
179 203 60
577 223 80
986 373 29
639 372 37
596 41 79
539 881 43
383 723 97
847 452 23
727 794 54
682 33 79
589 546 81
75 853 66
132 404 14
755 763 26
274 661 72
818 936 74
849 464 55
851 862 74
365 433 45
472 649 29
118 985 18
807 938 73
197 226 81
253 180 41
584 666 1
406 653 20
151 947 79
983 731 20
890 974 33
176 789 35
443 696 14
99 368 76
959 87 14
167 777 97
156 423 50
66 685 49
758 466 44
903 493 4
857 817 7
432 692 48
128 144 3
9 393 30
243 716 59
611 447 41
244 120 39
706 736 61
552 338 23
343 314 57
301 733 68
767 156 54
476 723 26
573 518 68
8 763 66
175 364 57
71 282 48
999 562 98
825 203 86
655 209 33
252 713 39
409 676 75
105 406 29
965 867 55
784 947 91
556 685 48
674 193 62
75 696 93
679 949 0
830 435 87
50 990 68
853 972 21
410 942 87
158 200 96
110 114 80
176 500 4
536 603 1
321 789 10
728 158 40
954 274 28
632 701 88
451 222 19
337 84 61
810 809 16
142 564 73
791 406 13
867 670 42
904 294 65
811 440 30
777 789 79
133 473 6
173 190 84
247 402 36
323 187 3
80 183 49
577 493 47
318 872 17
801 829 17
588 370 33
780 285 86
123 469 11
31 635 29
451 435 74
446 218 62
89 638 53
334 284 27
819 423 73
874 922 93
822 913 28
579 174 62
169 34 54
850 930 94
138 953 58
30 821 74
514 115 43
522 823 97
634 649 71
653 238 79
654 630 88
651 122 97
477 387 7
477 99 50
798 104 69
865 328 36
16 913 36
807 887 30
409 837 20
192 913 95
960 707 0
161 432 39
995 910 85
122 571 80
617 190 62
462 629 96
901 539 48
879 555 21
548 89 47
211 790 32
328 899 46
702 423 67
413 26 22
417 281 61
635 808 24
202 579 75
515 770 88
568 185 43
362 431 22
381 233 42
995 938 3
923 794 8
899 346 45
714 759 15
489 53 47
597 296 71
469 550 69
7 450 57
669 688 14
905 846 23
97 955 94
514 552 84
173 60 55
338 716 71
301 57 25
440 830 94
592 99 14
348 560 29
886 696 21
34 15 91
451 882 68
183 783 47
740 251 31
175 693 74
897 90 10
593 937 60
184 160 21
667 581 54
933 459 39
838 839 69
398 159 15
562 214 80
774 866 76
134 855 44
930 484 6
87 929 89
509 575 54
788 533 15
370 537 80
61 833 86
864 6 83
357 935 85
34 385 76
445 171 23
241 234 94
55 632 19
595 883 36
117 525 9
362 133 11
415 708 47
310 105 54
627 246 82
632 127 45
798 604 1
369 591 96
849 984 56
830 533 59
155 296 90
241 327 3
764 479 60
472 646 92
480 528 77
469 193 21
516 764 57
346 721 97
571 933 88
488 346 19
247 802 55
931 601 39
332 325 51
306 264 85
504 419 0
827 796 22
758 374 47
619 31 26
126 895 93
818 453 4
930 829 16
581 857 30
2 207 11
194 354 68
720 30 41
491 993 71
783 147 28
860 560 84
992 502 63
645 340 43
909 359 93
615 312 74
715 812 91
713 266 27
760 726 59
295 920 99
466 583 57
867 401 55
694 918 4
496 313 54
556 351 16
245 202 86
449 537 33
676 545 32
515 579 48
6 707 38
386 966 29
215 722 33
211 496 88
628 478 65
627 128 68
84 963 42
363 513 43
693 719 47
213 546 87
833 200 44
617 266 32
922 649 52
424 270 12
64 141 84
885 906 2
457 631 80
833 805 34
869 127 38
392 953 76
218 421 48
120 687 40
591 873 34
320 782 10
757 396 97
713 210 99
217 819 70
772 505 61
74 233 93
870 938 92
671 130 27
181 535 54
164 574 76
608 404 19
871 322 65
142 623 82
438 753 73
398 779 54
479 784 97
217 742 8
572 86 44
801 346 5
572 619 84
665 977 58
194 501 61
482 343 28
93 878 85
28 792 25
628 683 63
418 482 35
934 433 53
429 783 34
308 175 42
551 758 11
653 212 38
42 909 37
281 993 83
984 987 75
379 71 88
187 557 45
426 532 71
634 5 54
722 989 26
814 645 96
198 305 15
767 270 85
391 291 47
780 903 26
430 856 90
693 461 80
640 649 99
438 494 16
192 937 10
181 52 17
160 287 45
283 341 16
594 50 86
146 120 23
569 521 57
561 58 21
126 472 77
801 767 81
493 913 78
590 246 33
959 323 30
807 629 32
912 277 20
655 56 52
523 33 97
578 515 83
233 607 88
183 469 38
980 129 65
91 242 4
548 916 82
350 335 95
819 792 38
355 995 50
604 706 26
799 830 63
266 206 45
331 919 89
610 616 98
883 983 33
263 25 53
7 584 23
622 636 48
147 418 26
511 843 96
708 745 31
932 861 20
304 210 26
538 770 30
64 537 20
300 293 90
601 486 49
949 482 96
444 893 70
513 894 11
37 314 76
890 171 94
834 268 96
362 758 25
518 908 41
98 770 67
599 359 63
151 264 3
196 992 33
307 14 5
760 689 89
993 207 67
559 791 93
375 832 21
13 862 29
190 845 75
589 582 60
524 551 94
551 243 39
956 771 12
126 629 28
382 197 36
308 826 76
75 32 91
886 944 26
432 898 1
15 737 92
31 999 47
557 516 10
12 440 90
481 569 97
443 505 83
415 97 19
625 9 65
217 883 2
684 309 5
51 860 40
123 955 71
498 810 29
5 859 82
429 677 55
973 118 43
211 359 84
693 545 97
938 266 47
691 394 92
930 748 20
938 521 17
639 230 86
254 984 59
835 994 1
639 395 97
19 518 99
815 253 17
283 303 37
982 502 21
702 234 45
723 810 66
112 895 52
973 618 81
431 58 80
389 796 78
439 440 7
393 662 8
236 762 0
759 780 5
627 419 67
889 153 5
298 198 78
32 701 9
611 908 28
756 648 17
36 459 34
457 647 51
492 901 35
519 851 36
400 743 12
701 66 1
786 708 38
257 689 56
772 133 49
994 680 96
631 558 72
793 758 54
931 268 23
223 209 72
841 255 95
902 640 58
755 164 19
831 624 76
359 150 29
711 70 62
967 881 83
465 839 1
521 313 28
94 342 9
627 547 93
104 542 57
58 409 69
423 126 5
800 907 67
83 443 71
402 117 63
876 761 24
154 141 53
209 956 16
745 812 83
221 704 56
117 234 59
184 154 12
241 226 66
768 429 27
899 874 12
817 450 71
395 775 1
985 72 74
132 911 14
951 387 71
233 702 89
941 569 20
262 420 42
531 345 25
269 811 1
45 996 23
647 806 90
743 73 62
332 600 88
132 922 27
667 69 82
238 422 75
849 364 14
568 242 62
453 754 25
457 528 74
922 998 52
518 917 83
626 233 72
389 901 56
258 988 28
12 870 33
185 106 90
877 211 1
772 262 23
751 769 83
748 199 98
68 664 64
231 997 87
663 573 76
615 488 17
3 636 71
341 835 81
859 262 56
478 388 28
305 402 77
300 656 28
450 450 61
966 149 48
852 74 0
888 771 95
525 922 5
552 786 1
873 563 21
376 453 33
145 681 64
411 697 76
634 792 21
702 724 11
635 249 96
101 582 95
363 791 58
384 461 53
736 602 97
983 218 84
533 491 63
355 447 41
435 46 20
543 136 53
169 118 53
571 494 37
516 752 86
561 695 78
255 437 66
981 992 6
458 952 91
463 591 73
29 987 91
804 490 96
7 507 8
516 88 11
964 573 57
423 720 48
560 977 10
125 752 80
590 367 69
383 253 79
533 864 35
39 401 64
520 378 76
772 482 96
397 110 40
545 522 98
654 334 50
347 746 59
751 436 30
531 584 12
932 731 12
687 260 79
456 639 50
184 791 17
284 105 74
203 367 35
672 752 9
521 832 13
226 127 28
797 110 31
482 400 32
510 161 42
56 441 1
208 486 82
717 662 14
151 683 25
147 4 32
756 112 82
579 297 97
186 23 58
487 715 49
125 85 37
182 182 83
593 541 77
102 551 21
923 887 9
328 937 45
718 737 49
20 274 8
726 987 83
978 211 77
897 134 17
547 638 74
492 689 4
599 747 72
878 161 3
627 758 63
764 973 70
162 786 56
367 928 29
333 853 1
550 160 75
679 412 66
223 61 2
780 607 82
469 42 57
501 915 60
719 176 49
762 716 13
695 293 68
874 542 45
597 863 85
120 857 87
522 546 63
597 767 18
220 486 18
691 158 18
309 275 8
414 592 61
123 664 65
420 370 19
597 40 24
464 862 97
500 564 87
131 714 30
23 227 61
744 887 44
122 470 36
514 318 76
862 113 4
679 252 83
686 761 34
734 538 27
1 223 20
347 251 98
878 207 24
219 817 71
282 941 77
616 370 50
620 145 28
626 266 48
429 61 60
56 492 25
524 140 36
392 170 15
335 402 67
793 890 15
526 737 55
106 818 61
803 303 90
548 559 44
846 925 69
653 620 93
26 280 77
443 124 23
273 248 67
35 754 94
736 302 41
743 720 23
133 830 49
245 270 41
990 456 8
222 706 38
633 627 78
523 696 12
543 64 83
795 63 2
615 560 54
223 344 5
235 639 23
896 129 26
12 945 51
779 958 79
528 212 89
178 551 63
166 872 56
556 832 24
671 225 99
834 425 71
429 429 11
63 500 16
599 787 33
400 130 29
39 15 46
509 199 11
147 694 42
970 65 96
463 444 20
535 136 39
769 35 30
544 812 78
845 868 86
882 197 55
832 243 41
534 579 64
47 135 79
484 188 19
638 506 60
206 155 75
219 874 27
382 247 58
254 91 27
389 261 56
648 280 96
689 658 27
614 99 80
571 425 56
841 759 52
946 138 14
117 421 34
791 360 31
736 745 75
643 810 6
941 178 20
499 957 65
141 813 98
949 837 63
630 270 10
785 634 3
173 696 48
752 862 79
316 817 79
293 322 74
952 842 11
610 653 8
812 859 36
863 109 81
896 791 68
272 398 68
108 221 8
638 592 92
476 865 64
507 974 86
582 984 83
865 29 73
117 399 1
951 278 56
238 138 46
305 748 72
881 652 33
644 868 54
380 647 48
565 733 69
709 505 74
643 557 13
541 823 51
382 978 27
693 323 35
832 637 98
255 296 20
254 846 58
354 78 19
344 411 40
774 988 81
85 217 77
672 654 70
581 860 22
776 93 22
733 826 36
932 793 14
611 89 1
491 181 90
433 37 43
320 551 36
582 422 15
919 896 59
113 453 19
511 962 19
931 128 8
947 169 0
148 692 8
55 473 63
520 92 28
795 140 41
953 952 84
411 971 69
188 175 71
737 544 40
122 759 13
254 135 2
811 442 66
900 927 8
241 941 97
152 841 45
29 611 95
660 39 34
343 558 70
897 593 29
80 905 91
473 400 6
612 870 4
38 682 91
516 196 56
291 780 72
921 198 51
11 541 18
764 469 31
469 530 85
130 383 82
169 905 55
957 754 20
140 998 3
656 444 0
336 74 97
686 884 21
459 372 75
366 258 53
342 741 56
667 411 1
961 851 51
121 8 3
320 869 60
113 159 78
396 528 28
888 959 25
743 361 20
346 154 66
442 516 15
484 408 14
634 850 26
685 645 39
991 889 27
464 638 47
300 216 32
525 458 20
987 535 4
475 538 7
664 853 90
239 451 52
627 99 75
616 769 24
294 645 31
775 238 52
490 990 21
317 251 82
616 512 87
63 567 31
913 120 14
918 439 20
484 557 88
465 185 0
867 838 30
642 483 95
224 251 31
31 626 72
341 145 38
537 788 73
880 456 55
277 37 88
789 22 91
724 186 1
780 677 59
850 727 64
283 467 33
750 843 66
583 323 66
762 476 34
480 588 54
718 690 20
919 417 60
853 736 61
293 808 41
180 154 80
262 834 10
55 89 8
609 479 3
5 941 90
359 72 94
854 713 8
185 448 21
128 559 35
947 833 6
757 424 13
770 648 49
344 956 28
415 238 3
56 680 9
572 469 53
480 858 58
274 998 23
785 796 69
728 909 85
794 703 82
77 451 7
995 347 20
896 506 6
281 441 79
251 944 7
191 592 43
408 424 46
61 641 8
336 634 24
222 344 86
179 563 0
295 297 34
420 41 41
894 226 1
133 466 91
671 590 40
30 455 2
86 235 63
17 548 57
645 528 38
722 169 87
262 755 72
898 166 73
536 158 9
122 304 72
229 822 15
397 715 89
23 571 2
458 797 28
837 140 31
505 829 48
677 598 66
385 887 49
786 319 74
465 158 77
850 261 96
719 921 72
331 191 92
200 626 17
488 146 51
78 440 60
276 735 15
377 84 2
849 917 0
297 430 22
828 933 61
764 190 39
733 233 38
828 416 48
327 853 20
808 698 13
932 555 88
177 788 80
525 281 54
265 709 57
643 92 88
992 135 27
475 735 93
7 902 16
75 979 36
498 307 14
891 665 21
347 214 59
260 656 63
612 10 33
795 247 62
189 615 96
180 467 76
991 373 69
971 202 89
410 282 23
811 124 19
790 611 45
765 746 91
978 669 81
144 922 89
716 790 91
684 141 76
550 87 76
562 914 59
155 975 96
337 686 65
648 477 46
481 250 61
215 729 96
88 443 4
4 492 41
778 316 98
161 74 78
447 669 21
344 687 0
27 510 22
615 969 93
845 287 16
582 346 88
461 360 37
289 801 12
514 215 47
640 923 18
938 183 51
922 97 43
427 823 16
442 466 80
162 62 74
659 152 28
151 180 29
24 842 94
754 293 61
264 774 82
296 53 68
932 820 34
940 464 38
618 674 63
274 833 66
970 417 32
874 67 72
956 4 25
132 948 35
223 902 47
349 438 91
571 998 24
650 779 58
46 991 86
725 967 26
333 743 12
643 331 77
921 60 42
542 238 86
285 72 99
680 839 70
40 498 49
152 119 49
732 919 80
987 754 72
443 646 93
735 188 50
374 482 57
319 929 27
900 831 29
912 519 17
886 377 14
584 287 16
788 955 14
332 402 54
733 736 45
724 168 95
447 242 98
307 812 53
45 150 40
551 6 51
294 303 59
918 381 78
466 417 52
955 814 84
989 471 54
891 541 98
329 261 10
301 277 48
76 570 53
719 813 10
859 926 75
487 52 57
220 69 78
876 616 56
371 419 20
686 163 42
860 294 37
325 33 28
617 297 31
506 388 52
905 732 31
766 607 55
372 866 36
426 490 83
240 657 91
351 783 50
933 755 35
868 816 91
691 507 12
273 876 27
850 902 37
410 974 46
365 289 36
293 509 43
462 382 9
693 356 68
182 413 22
143 153 80
367 247 32
774 432 87
205 898 69
130 93 98
561 445 93
980 60 67
890 586 86
590 405 13
13 68 13
289 743 59
912 569 20
953 491 19
330 901 72
564 10 53
616 903 55
30 106 19
814 490 38
198 72 94
449 652 82
445 489 98
555 869 67
927 358 86
88 681 16
197 176 66
942 878 77
174 428 30
946 246 69
341 282 18
73 466 20
16 27 1
647 576 52
160 69 61
445 336 10
843 913 41
770 641 56
358 702 48
464 380 33
59 947 77
987 475 4
338 314 34
392 505 60
721 254 72
641 277 27
845 346 71
446 177 64
537 748 63
651 549 51
219 18 19
793 772 2
925 843 82
870 194 60
568 147 61
994 481 25
944 505 68
985 177 15
238 559 13
221 763 79
720 644 45
690 137 24
356 968 22
385 376 82
801 117 33
765 213 67
396 168 77
899 484 55
968 245 3
18 892 67
848 659 20
968 351 1
834 8 26
905 831 74
289 239 47
180 956 18
847 145 91
867 706 13
155 74 74
292 16 90
678 245 44
266 764 98
479 993 26
951 542 41
930 817 5
783 60 67
758 955 10
713 388 84
18 997 69
221 409 96
95 566 26
903 86 77
49 244 44
237 632 22
185 608 52
415 394 91
261 782 19
839 600 29
533 511 6
314 677 92
760 678 57
460 330 29
473 912 23
312 909 21
144 953 59
497 207 57
371 139 99
329 336 71
725 720 38
60 348 75
545 377 17
875 570 89
700 222 74
504 892 66
922 990 71
153 146 4
778 869 13
838 891 53
107 257 74
613 323 27
402 243 52
592 577 86
651 451 56
191 52 45
248 571 36
217 153 8
327 546 82
142 119 85
686 179 45
591 536 75
752 579 67
39 621 14
636 604 64
500 209 53
825 901 63
601 637 38
617 561 58
296 463 12
74 679 35
60 976 23
821 236 9
183 323 37
571 693 23
317 721 14
538 201 56
32 245 32
56 182 83
775 281 4
704 512 29
34 274 10
859 723 13
541 122 46
708 13 30
370 204 83
134 501 20
869 168 45
930 553 92
54 570 3
988 766 37
509 192 80
52 351 16
970 627 13
243 288 59
901 523 89
492 505 97
713 900 97
372 634 87
406 125 93
224 497 33
185 666 34
892 471 88
465 387 39
629 550 27
500 312 5
229 531 82
583 38 0
158 215 66
147 462 22
130 208 58
935 549 72
813 704 54
576 226 12
833 139 5
72 430 57
793 638 3
800 294 98
726 201 68
818 558 33
983 803 29
124 709 36
428 695 81
923 778 47
425 593 53
748 256 77
718 800 45
342 669 82
320 179 68
525 925 81
218 628 18
521 914 72
340 673 66
322 689 80
677 982 52
77 189 45
710 390 3
320 199 26
27 272 57
296 58 8
510 213 55
977 598 92
263 951 50
845 848 78
310 905 50
950 461 73
976 663 91
526 328 30
156 918 93
622 311 2
56 594 12
993 226 52
386 653 39
489 316 29
405 698 24
723 36 73
356 776 69
817 763 11
548 836 86
409 504 37
624 887 56
165 927 72
602 472 7
844 992 73
783 108 75
71 871 76
635 350 42
346 939 69
52 521 46
872 293 57
851 262 9
240 919 9
428 486 52
690 889 44
171 266 46
348 693 8
567 656 45
725 529 74
263 762 81
931 355 70
240 894 49
508 957 84
66 35 11
852 366 17
118 12 24
517 789 44
791 281 2
598 997 59
162 430 75
686 393 74
71 397 96
455 988 37
750 387 26
894 419 91
150 247 4
911 328 76
333 305 48
668 228 44
681 277 57
450 927 54
198 348 85
589 851 94
928 859 87
560 475 54
520 275 16
471 403 92
529 728 30
562 420 12
715 943 26
356 49 85
896 128 50
703 624 44
840 536 29
314 546 24
314 18 95
193 859 88
978 162 44
929 546 69
533 762 73
175 736 86
765 979 55
884 360 94
617 527 43
626 840 35
590 494 7
806 980 0
918 393 8
332 187 38
838 836 8
413 520 83
579 205 29
160 467 64
68 794 15
429 775 42
86 95 63
800 951 39
967 939 1
137 218 50
360 812 80
35 924 31
873 466 65
294 813 6
764 596 46
433 311 23
399 825 32
70 739 65
479 804 20
106 263 29
570 860 92
918 208 63
659 38 62
148 645 26
883 971 21
297 925 46
488 103 4
779 911 35
914 658 87
995 691 94
277 608 74
275 918 1
643 26 28
391 717 42
242 16 7
246 381 87
670 856 70
189 486 39
90 105 91
117 340 2
268 471 85
700 349 10
263 746 96
254 155 23
460 95 14
824 417 32
11 358 96
485 765 8
836 89 60
82 808 0
879 601 82
827 201 38
690 872 75
343 798 94
36 94 87
56 281 73
128 836 21
986 214 13
229 833 37
352 458 54
90 389 31
294 14 24
987 956 54
474 731 95
316 284 86
250 100 31
477 949 6
219 380 56
640 658 82
294 251 89
997 509 50
901 87 36
668 991 23
267 434 92
998 892 19
609 220 0
518 394 73
